FACID,FNAME,302_CONTACT,302_PHONE,PRIMARY_CONTACT,PRIMARY_CONTACT_PHONE,PRIMARY_CONTACT_24HR,SECONDARY_CONTACT,SECONDARY_CONTACT_PHONE,SECONDARY_CONTACT_24HR
8904,Ag Valley Co-op Non Stock,Shawn Erickson,308-927-3681,Randy Nelsen,308-889-3323,308-785-7303,Zack Allen,308-889-3323,660-953-1024
8905,Frenchman Valley Farmers Co-op,Michael D Barfield,308-414-1239,BJ Franken,,308-874-3241,Heather Hartman,,308-874-3241
8910,Pilot Flying J 904,Joey Cupp,865-300-6150,Joey Cupp,865-588-7488,865-300-6150,Dave Dippel,865-474-2725,865-243-0089
8914,McClung Aerial Spraying Inc,Brent McClung,308-889-3481,Brent McClung,,308-289-3534,Greg McClung,,308-289-1208
8973,WAPA Chappell Substation,Kristopher Latimer,970-646-2487,RMR Power Dispatch Center,970-461-7279,800-835-0547,Kyle VonBonn,970-842-2372,800-835-0547
9057,M G Waldbaum Co,Zach Wirth,402-257-5013,Brady Weaver,402-287-5025,641-344-5035,Mike Pasko,402-287-5186,712-223-2704
9061,Dixon Elevator Co,Jeffrey L Hartung,402-375-0396,Jeffrey L Hartung,402-584-2284,402-375-0396,Jeffrey L Hartung,402-584-2489,402-375-0396
9100,Central Valley Ag,Chuck Schurman,800-535-5053,Chuck Schurman,402-360-2492,800-535-5053,Kaylin Martinson,712-635-3244,800-535-5053
9141,Purina Animal Nutrition LLC,Preston Bruss,402-909-0725,Lance Staggenborg,316-221-7524,254-640-8413,Earl Jordan,402-721-8582,402-871-0376
9143,Darling Ingredients Inc,William Holmes,214-790-4500,Grahm Martin,,402-704-1052,Rebecca Lynn,,402-704-1053
9144,Cargill Animal Nutrition,Kathleen Peterson,215-510-4728,Elizabeth M Pierson,402-727-2248,402-313-9605,Dan Lazinek,,360-810-4432
9149,Ardent Mills LLC,Thomas Morehouse,402-770-0005,Samantha Bryant,402-739-8202,402-389-1301,Ethan Beumer,816-550-0952,402-721-4200
9155,Central Valley Ag,Ryan Whitaker,800-535-5035,Ryan Whitaker,402-664-2256,800-535-5035,Ryan Schnoor,402-720-0460,800-535-5053
9169,Archer Daniels Midland Co,Matthew Willburn,531-666-8068,Matthew Willburn,402-721-5670,531-666-8068,Nahum Baeza,402-721-5670,605-216-3242
9176,Magnus LLC,Kate E Tacner,402-972-5626,Kate E Tacner,402-721-9540,402-972-5626,Adam M Schulz,402-721-9540,402-719-1913
9177,Jayhawk Boxes Inc,Anthony N Kolund,402-721-6100,Anthony Nemec,402-721-6100,913-593-5255,Kris Williams,402-721-6100,402-216-4235
9188,Sapp Bros Petroleum Inc,Randy Benson,402-679-1390,Carl Nielsen,,402-720-7160,Dan Krumrey,402-895-2202,531-215-5359
9190,All Metals Market Inc,Scott Washburn,402-720-4359,Todd Hoppe,402-721-2985,402-719-0433,Kevin Yount,402-721-2985,402-720-3340
9195,AmeriCold Logistics LLC,Louis Amaro,402-936-5125,Louis Amaro,402-721-7882,402-936-5125,Bill Macklin,402-721-7882,402-206-7551
9234,C F Industries Distribution,Marcus Mlnarik,402-719-5700,Marcus Mlnarik,,402-704-9834,Justin Erickson,,402-209-4898
9235,Charter Communications NE765,Phillip Wannarka,402-432-8254,Matthew McAdams,512-485-1481,720-635-6540,Steve Beaman,720-699-4884,432-661-9722
9319,Gerhold Concrete Co,Roger Stokes,402-557-3807,David Teagarden,402-727-1800,402-214-2203,Thomas Silknitter,,402-378-0146
9419,3M Great Plains,Cheryl R Wildy,402-359-2131,Cheryl R Wildy,402-359-8381,402-359-2131,3M Security,,651-733-6100
9435,Interstate Chemical Company,Dick Thompson,800-422-4485,Terry Adams,402-727-9497,402-218-6961,Joe Calarco,719-542-4485,800-422-4485
9436,Rawhide Chemoil Inc,Jennifer Assmann,800-633-8253,Jennifer Assmann,402-721-7601,800-633-8253,Megan Moes,,402-350-2009
9494,Titan Machinery Inc,,,Chris Beerbohm,702-727-4200,420-620-5994,Michael Scanlon,402-727-4200,402-607-9347
9540,Scribner Grain & Lumber Co,Mike Baumert,402-664-3105,Mike Baumert,402-664-2501,,Polly A Stumpe,402-664-2501,402-380-1258
9563,Cooperative Supply Inc,Chris Pieper,402-499-4611,Chris Pieper,402-593-2261,402-499-4611,Steve Ortmeier,402-693-2261,402-260-9046
9595,Schuyler Co-op Assn,Joseph A Sisco,402-615-5327,Robert Speicher,402-352-2554,402-564-1424,Josh Fanning,402-352-2554,417-839-3595
9626,Cooperative Supply Inc,Chris Pieper,402-499-4611,Chris Pieper,402-593-2261,402-499-4611,Steve Ortmeier,402-693-2261,402-260-9046
9662,WholeStone Farms Cooperative,Steven J Weers,402-721-2300,William G Groesbeck,402-753-3357,402-721-2300,Jerry A Sorrick,402-721-8651,402-721-2300
9665,The Oilgear Company,John Metzler,402-620-5091,John Metzler,402-727-9700,402-620-5091,Alan Circo,402-727-9700,402-727-9700
9733,Kruger Feed & Seed,Gerald L Kruger,402-720-3162,Gerald L Kruger,402-652-8384,402-720-3162,William Giddings Jr,402-652-8384,402-720-3163
9743,CRD Inc Transfer Station,Jamie Johnson,402-721-7511,Mick Rahlfs,402-721-7511,402-306-0181,Daniel Vanhorn,402-721-7511,402-719-0082
9848,Farmers Pride Warehouse,Dawn Pochop,402-675-1775,Kip Voss,402-568-2222,402-336-7738,Bryan Daum,402-675-2375,402-649-3152
9954,Smeal SFA LLC,Scott Chartier,402-640-2464,Scott Chartier,402-769-2347,402-640-2464,Kevin L Strudthoff,402-562-1700,402-672-2369
10000,Frontier Cooperative,Kyle B Rasmussen,402-405-4489,Beau Hartman,402-652-8533,402-615-5166,,,
10021,Hoegemeyer Enterprises Inc,Wade Stenvers,402-720-4771,Wade Stenvers,402-654-2701,402-720-4771,Chris A Hoegemeyer,402-654-3399,402-719-1279
10138,Viterra USA Grain LLC,Josh Birkel,402-910-3801,Josh Birkel,402-727-2345,402-910-3801,Corey Vitamvas,402-727-2345,531-999-0780
10170,Holcim US Inc,Robert I Baker,402-417-3307,Robert I Baker,,402-417-3307,Ryan Cluckey,,708-552-7666
10186,Helena Agri-Enterprises LLC,Thomas Smith,402-727-2785,Alex M Ott,402-727-9177,402-278-0424,Christian Vogt,402-727-9177,
10255,American Concrete Products Co,James Connell,402-331-5775,Jay Gould,402-331-5775,402-306-7804,Paul Christenson,402-331-5775,402-403-1139
10257,J F O'Neill Packing Co,Patrick O'Neil,402-661-4606,James G Smith,402-733-4911,402-609-0707,Ron O'Neill,402-733-4911,402-926-9722
10259,Hiland Dairy Foods Company LLC,Tyler Gentzel,814-441-7706,Tyler Gentzel,,814-441-7706,Jim Moore,402-344-4321,402-504-0994
10267,Eaton Omaha Power Center,Rob Murtfeld,402-306-0509,Rob Murtfeld,402-609-4701,402-306-0509,Dallas Korus,402-609-4697,402-972-7032
10271,JBS Packerland,Tim Gatewood,402-443-6375,Mike Stonerook,402-594-3230,,Aaron Long,402-594-3237,641-241-9407
10274,Nox-Crete Temporary Warehouse,Michael A Linn,402-305-0993,Michael A Linn,402-504-9220,402-598-8671,Jason D Hertz,402-504-9227,402-332-9274
10277,Quality Refrigerated Services,Michael Amundson,402-203-4853,Mark Armstrong,402-738-1118,402-517-6257,Henry Elker,402-457-5199,402-699-0074
10289,Omaha VA Medical Center,Kecia K Spofford,402-995-4442,VA NWI Police,402-995-3202,402-489-3802,VA NWI Operator,308-395-3400,402-995-3333
10296,Magellan Pipeline Company LP,Tristan Grover,515-306-1780,Scott Crawford,423-605-0045,800-720-2417,Kyle Birnley,402-670-1640,800-720-2417
10298,MUD Operation Building,Ben Koziel,402-618-2508,Ben Koziel,402-504-7869,402-618-2508,John E Velehradsky,402-504-7847,402-504-0754
10299,Ardent Mills LLC,Thomas Morehouse,402-770-0005,Samantha Bryant,402-739-8202,402-389-1301,Mac Cullinan,816-769-9953,
10308,3M Co,Cheryl R Wildy,402-359-2131,Cheryl R Wildy,402-359-8381,402-359-2131,3M Security,,651-733-6100
10328,Wynne Transport Service Inc,Peter J Book,402-779-5062,Peter J Book,402-342-4001,402-779-5062,Marty Owens,402-342-4001,402-680-7120
10345,RoadBuilders Machinery & Sup,Erika Given,913-371-3822,Erika Given,402-331-9200,913-371-3822,Erika Given,402-331-9200,913-371-3822
10353,Univar USA Inc,Jeff Flakus,800-424-9300,Jerry Reafleng,602-455-4009,800-424-9300,Jeff Flakus,402-733-3266,800-424-9300
10393,Penske Truck Leasing Co LP,Morgan McCusker,610-775-6409,Craig Carroll,515-265-6016,800-526-0798,Penske 2 Roadside Assistance,,800-526-0798
10395,Taylor Communications Inc,John R Tanke,507-386-5889,Marc Loomer,402-898-6207,815-762-4166,Darren Bramlage,402-898-6412,402-203-9188
10397,Rion Equipment,John Howard,402-734-5438,John Howard,402-210-0268,402-734-5438,Trevor Tobias,,402-490-7331
10410,BNSF Railway Company,Robert Schroeder,531-530-9984,Alexander Ast,402-422-5337,784-221-3317,Robert Schroeder,531-530-9984,
10441,Bunzl Processor Distribution,Ben Bearman,402-214-8921,Jesse Gongora,816-448-4300,479-531-4603,Ben Bearman,402-457-7498,402-214-8921
10447,Signature Flight Support,,,Rachel Conover,402-422-6789,402-200-8188,Brad Faught,402-422-6789,512-635-7784
10465,ALI Pharmaceutical Mfg LLC,David L Sempek,402-290-0381,David L Sempek,402-835-0207,402-290-0381,John Neumann,402-835-5563,402-470-8040
10467,Greenbrier Rail Services,Thomas Hannon,402-740-3727,Justin Ring,,402-810-5643,Cesar Nevarez,,210-328-2248
10469,Packaging Corp of America,Steve Dutton,816-516-6965,Steve Dutton,402-734-8169,816-516-6965,Paul R Smith,402-734-8119,402-218-9640
10477,Malnove Inc,Jeff Albert,402-619-0351,Jeff Albert,402-330-1100,402-619-0351,Bryce Berry,402-330-1100,219-476-6390
10479,Matheson Tri-Gas Inc,Dennis Gardner,531-222-4849,Dennis Gardner,402-331-1400,531-222-4849,Adam Iwen,402-331-1400,402-630-1377
10489,Skylark Meats LLC,Tom G Overbeck,402-960-3671,Tom G Overbeck,402-938-9354,402-960-3671,Herman Ochoa,531-365-6327,773-406-5427
10518,Majors Plastics Inc,Mark Swanson,402-670-8428,Mark Swanson,402-331-1660,402-670-8428,Michael E Schweitzer,402-763-6457,402-301-7799
10520,Lozier Corporation West Plant,Tanya Shaul,402-871-6246,Tanya Shaul,,402-871-6246,Andy Lozier,402-457-8000,402-457-8464
10526,L B T Inc,James A Nelson,402-939-9409,Jason D Wileman,402-697-3662,402-320-5016,James A Nelson,402-697-3698,402-939-9409
10528,Elliott Equipment Company,Justin Wolsmann,402-312-5785,Justin Wolsmann,402-592-9863,402-312-5785,Jamie Hudson,402-932-9457,402-210-6834
10545,Kellogg USA Inc,David Simmons,402-709-6825,David Simmons,402-935-3119,402-709-6825,Kodjo Ahadjitse,402-935-3135,402-601-5124
10548,LALA Branded Products LLC,Jesse Garcia,402-699-5633,Jesse Garcia,402-885-4556,402-699-5633,William Andersen,402-885-4556,402-290-6318
10550,Nox-Crete Manufacturing Inc,Michael A Linn,402-598-8671,Michael A Linn,402-341-2080,402-598-8671,Jason D Hertz,402-504-9227,402-332-9274
10551,International Paper Company,Eric Cole,402-592-6211,Glen Lonsway,402-592-6237,402-359-3567,Randy Rauscher,402-592-6226,402-672-6505
10553,Ryder Truck Rental One Way Inc,Eric Harvey,402-334-5762,Ryder Fuel Services,402-334-5762,,Ryder Fuel Services,800-215-4839,
10557,Shared Service Systems,,,Joseph D Brooks,402-536-5333,712-215-5303,Steve Rogers,,402-689-2022
10686,Swanson 11X-21,Angie Bowling,303-744-1480,Kurt Nelson,303-808-8110,303-808-8110,Matt Nelson,,303-981-3840
10770,Industrial Plating Inc,Corey Chickinell,402-681-6716,Randye Chickinell,402-344-4684,,Corey Chickinell,402-344-4684,402-681-6716
10788,Verizon Wireless,,,Network Operations Center,800-264-6620,800-386-9639,Paul Hausman,908-559-6560,800-386-9639
10826,Verizon Wireless 16th & Farnam,,,Network Operations Center,800-264-6620,800-386-9639,Paul Hausman,908-559-6560,800-386-9639
10854,Zorinsky Federal Building,,,Joe R Munch,402-221-4720,402-206-6935,Joseph W Workman,402-221-4721,402-218-5733
10883,Beyer TXO 1A,Angie Bowling,303-744-1480,Kurt Nelson,303-744-2034,303-808-8110,Matt Nelson,,303-981-3840
11069,Reiners Lease,,,Ed Hanes,308-340-5680,308-340-1910,Donna Stucky,316-265-3311,620-345-9878
11214,Grover Asphalt Plant,Rosa Mendoza,515-414-6577,Kyle Timmer,402-895-6666,507-822-0146,Joe Griffin,402-619-3704,507-822-0146
11286,Jiffy Lube 0042,Lillian Nicholson,972-812-7910,,,,Lillian Nicholson,972-812-7935,972-812-7910
11328,Hertz Equipment Rental 9448,Doug Blancher,402-290-9622,Doug Blancher,402-551-3447,402-290-9622,Dave Parker,402-551-3447,402-770-0424
11365,Nebraska Iowa Supply Co Inc,Mike J LaPalomento,402-980-9490,Matt C Hayes,402-393-8350,402-237-2342,Jon P Huckins,402-393-8350,402-670-4332
11505,Verizon Wireless Rosenblatt,,,Network Operations Center,800-264-6620,800-386-9639,Paul Hausman,908-559-6560,800-386-9639
11568,United States Cold Storage Inc,Durayne Ebbers,402-210-0628,Durayne Ebbers,402-731-9900,402-210-0628,Daniel E Goodhard,402-731-9900,402-657-1240
11712,Turvey 1-A,Angie Bowling,303-744-1480,Kurt Nelson,303-744-2034,303-808-8110,Matt Nelson,,303-981-3840
11738,AmeriGas,Phil Kubik,531-203-7555,Todd M Schmidt,,563-271-1785,Phil Kubik,,531-203-7555
11785,Alter Trading Corporation,Ryan Carpenter,402-213-9638,Zach Cook,,402-346-6852,Josh Franker,,402-320-1846
11954,Dobney's Sinclair,Larry D Dobney Jr,402-850-6541,Marlene K Dobney,402-451-0838,402-339-8239,Larry D Dobney Jr,402-592-8679,402-850-6541
11998,Central Plains Cement,Kevin L Krull,402-619-6847,Kevin L Krull,402-453-6433,402-619-6847,Brian Holst,402-453-6434,402-619-6962
12253,ABF Freight System Inc,Jennifer Lester,800-755-6486,Trevor Wilson,402-331-5700,800-755-6486,Jennifer Lester,479-785-8951,800-755-6486
12256,Gieseking 41X-9,Angie Bowling,303-744-1480,Kurt Nelson,303-744-2034,303-808-8110,Matt Nelson,,303-981-3840
12288,Consolidated Harm Plant 5,Jeff Kuhlman,402-973-2212,Aaron Luth,402-891-9355,402-690-3866,Mary Weich,,402-937-3670
12378,LKQ Midwest Auto Parts,Justin Jarzynka,402-573-4921,Justin Jarzynka,402-573-4908,531-329-0227,Mike Lowery,402-573-4951,
12587,Omaha Steaks International,James Anderson,402-639-1685,James Anderson,402-597-8176,402-639-1685,Scott Henderson,402-593-4247,402-297-2220
12593,J & M Lease,,,Ed Hanes,308-340-5680,308-340-1910,Donna Stucky,316-265-3311,620-345-9878
12771,Old Dominion Freight Line Inc,Jason Marable,816-273-2728,Jason Marable,402-331-7394,816-273-2728,Tim Gibson,402-331-6384,402-659-9257
12810,Harcros Chemicals Inc,Tammy Haggart,402-689-3861,Sam Collins,402-331-4525,402-214-3595,Tammy Haggart,402-331-4525,402-689-3861
13213,Student Transportation-America,Kevin Pinkleman,402-224-0219,Kevin Pinkleman,402-933-0661,402-224-0219,Tammy Miller,402-991-8882,402-203-7059
13390,Ferrellgas,Matt Burrow,214-543-9369,Matt Burrow,888-494-2762,214-543-9369,Greg Howard,888-494-2762,515-494-5111
13403,El Dorado Packaging Inc,Damon Marks,402-430-4043,Damon Marks,402-895-0430,402-895-0430,Brett Ishman,,402-430-4043
13423,HD Supply Location 3450,Scott Liable,402-277-6474,Scott Liable,402-453-6644,402-277-6474,Bryan Axtell,402-453-6644,402-415-8257
13425,Lineage Logistics LLC,James De Bruhl,909-437-3688,James De Bruhl,402-733-8370,909-437-3688,Craig S Huls,402-861-0352,402-676-9967
13485,Quality Pork International Inc,Bennett Leuschen,402-213-7039,Bennett Leuschen,402-829-7203,402-213-7039,Maria Promes,402-829-7225,402-214-4326
13511,U-Haul Co,Riccardo Montgomery,319-651-8607,Riccardo Montgomery,402-896-2410,319-651-8607,Doug Graham,712-366-0595,402-525-1300
13557,Maxted 1,Angie Bowling,303-744-1480,Kurt Nelson,303-744-2034,303-808-8110,Matt Nelson,,303-981-3840
13685,Jiffy Lube 3407,Lillian Nicholson,972-812-7910,,,,Lillian Nicholson,,972-812-7910
13742,Safety-Kleen Systems Inc,Greg Van Stechelman,941-210-1876,Chad Zimmerman,402-333-6321,800-468-1760,James Hrlevich,402-384-4908,800-468-1760
13828,RAKA Grand Island,Tanner Taylor,308-218-7859,Tanner Taylor,,308-218-7859,Trevor Tobias,,402-490-7331
13855,Cox Communications Omaha LLC,Brandy Brickey,678-645-1431,Central RSOC,,844-866-6288,Chris Maddox,,402-510-3006
13995,US Postal Service,Kelle M Cline,402-208-5552,Kelle M Cline,402-348-2830,402-208-5552,Charles S Baxter,402-348-2826,402-616-9394
14007,Syngenta Seeds Inc,Luke Lish,402-885-0211,Dawn Placke,531-444-6510,402-580-0281,Drew Pullen,,319-330-2934
14114,Smithfield Packaged Meats Corp,Ronald Kyle,405-609-7210,Ronald Kyle,402-731-6400,405-609-7210,Ben Borkowski,402-731-6400,402-690-2794
14156,Avis Rent A Car,Nate Peters,402-422-6488,Nate Peters,,402-422-6488,Chris Mahar,402-422-6489,402-505-1823
14325,Lyman-Richey Maintenance Shop,Ben Weitzel,402-670-8984,James Buse,,402-312-0022,Thomas Silknitter,,402-378-0146
14347,White Cap Ltd,Brian Compas,402-331-0333,Daniel Derner,402-582-5410,623-696-5741,Brian Compas,404-879-7740,
14465,West Plains Co,Tarent Tevis,402-536-9726,Tarent Tevis,,316-214-0356,Brian Carleton,402-889-4053,402-547-3443
14513,International Nutrition Inc,Chris Shafer,402-779-1368,Steven Silver,402-331-0123,402-598-6656,Chris Shafer,402-331-0123,402-779-1368
14516,GTL Truck Lines Inc,Neal E Carroll,402-690-7817,Neal E Carroll,402-537-6641,402-690-7817,Brandy Payne,402-339-7300,914-380-6191
14669,US Foodservice Inc,Yvette Bain,303-792-9230,Adel Syed,,612-562-3603,Yvette Bain,303-792-9230,
14693,Syngenta Crop Protection LLC,Carter Lund,605-929-7889,Jake Kite,402-734-8322,,James Collier,402-734-8303,402-651-9709
14939,Alamo-Enterprise-National,Eric Schebler,309-846-2464,Matthew Anderson,,402-253-6573,Eric Schebler,563-723-3463,309-846-2464
15047,William H Harvey Company,Jon Boehlke,402-669-3930,Victoria Harte-Maxwell,402-952-4938,402-507-7479,Jon Boehlke,,402-669-3930
15080,CHI Health Bergan Mercy,Josue Bachez,402-398-6115,Dylan Cardiff,402-398-5914,402-208-8448,Bill Pankonin,402-708-3515,402-960-7693
15104,Nash Finch Omaha Distr Center,Neal E Carroll,402-690-7817,Neal E Carroll,402-537-6641,402-690-7817,Brandy Payne,402-339-7300,914-380-6191
15441,AT&T NE0190,,,Andrew Strom,,612-615-3259,Jeremy McGrue,214-464-1712,800-566-9347
15756,Monarch Oil Inc,Steve Walenz,402-657-7414,Steve Walenz,402-341-5254,402-657-7414,James Gunn,402-341-5254,402-657-7389
15806,United Parcel Service,Deanna Melton,402-281-7440,Edward Howell,,425-231-9615,Tom Blake,515-263-7820,515-306-1659
15808,United Parcel Service,Deanna Melton,402-281-7440,Edward Howell,,425-231-9615,Deanna Melton,,402-281-7440
15812,Ardent Mills LLC,Tom Morehouse,402-770-0005,Samantha Bryant,402-739-8202,402-389-1301,Kyle Armstrong,720-739-8426,225-590-7360
15820,Saia Motor Freight Line Inc,Lisa Hardgrove,800-765-7242,Jonah Dillman,402-592-7110,800-580-4632,Saia Emergency / Safety Dept,,800-580-4632
15824,Jiffy Lube 3321,Lillian Nicholson,972-812-7910,,,,Lillian Nicholson,972-812-7935,972-812-7910
15833,UNOmaha North,Austin Brake,402-554-2911,Patrick G Wheeler,402-554-3921,402-660-1598,Austin Brake,531-359-5889,402-554-2911
16135,Jiffy Lube 3408,Lillian Nicholson,972-812-7910,,,,Lillian Nicholson,972-812-7935,972-812-7910
16633,International Gamco Inc,Jim Myers,712-223-2033,Steven Wunderlich,,402-541-2430,LaToya Hayes,,531-210-6069
16978,Energy Center Omaha Howard,Brian Bendt,712-310-3754,Brian Bendt,402-346-9066,712-310-3754,Jamison Whitelock,402-346-9066,507-276-9383
17162,Genuine Parts Company,Josh Dube,402-578-8231,Josh Dube,402-554-4550,402-578-8231,Jamie Weis,402-554-4550,913-551-8121
17209,NDOT South Omaha Yard,Whitney Shipley,402-504-6843,Tiffany Wells,402-595-2712,402-677-1874,Tiffany Wells,402-595-2712,402-677-1874
17259,Lineage Logistics LLC,James De Bruhl,909-437-3688,James De Bruhl,402-733-8370,402-979-4956,Barry Knaak,402-733-8370,402-350-8452
17282,BHJ USA Inc,Guy Jones,402-830-4218,George Campbell,402-734-8030,402-679-3837,Andrew C Kruse,402-734-8030,531-444-8059
17288,Omni Engineering Plant 01,Rosa Mendoza,515-414-6577,Kyle Timmer,402-895-6666,507-822-0146,Kyle Timmer,402-895-6666,507-822-0146
17289,Nebraska Beef,Sam Farrell,402-733-0359,Zachary M Ropski,402-733-0359,402-321-1943,Mariateresa Ortiz,402-733-7000,402-699-7682
17380,Exoxemis Inc,John C Allen,402-547-3691,Steve Stephens,,402-547-3691,John C Allen,,402-590-4447
17409,Ready Mixed Concrete Co,Troy Khols,402-321-3201,Matt Anderson,402-556-3600,402-290-7991,Thomas Silknitter,,402-378-0146
17605,Ag Partners Cooperative Inc,Curtis Stahel,785-207-1386,Scott Schremmer,,785-294-1670,Dan Simpson,785-742-2196,785-741-0153
17738,Magellan Pipeline Company LP,Tristan Grover,515-261-6625,Nick Armijo,316-323-5674,800-720-2417,Zach Jones,402-571-7090,800-720-2417
17877,Raymond Unit,Angie Bowling,303-744-1480,Kurt Nelson,303-808-8110,303-808-8110,Matt Nelson,303-744-1480,303-981-3840
18110,Gerhold Concrete Co,Nate Higby,402-750-7219,Rex Galusha,308-382-2032,308-379-8974,Thomas Silknitter,,402-378-0146
18390,Student Transportation-America,Kevin Pinkleman,402-224-0219,Kevin Pinkleman,402-991-8882,402-224-0219,Tammy Miller,402-991-8882,402-203-7059
18421,Tyson Processing Services Inc,Ben Meyer,402-894-7538,Dillon Bennett,402-894-7569,402-650-8924,Dave Williams,402-894-7568,402-960-3918
18773,Verizon Wireless Old Mill,,,Network Operations Center,800-264-6620,800-386-9639,Paul Hausman,908-559-6560,800-386-9639
19416,Diesel Power Equipment Co,Johnathan Saunders,402-779-1276,Johnathan Saunders,,402-779-1276,Gary Schulenberg,,531-800-4053
19530,NDOT District 02 Headquarters,Whitney Shipley,402-504-6843,Jay J Partch,402-935-5439,402-490-0485,Bill Kinser,402-935-5438,402-670-7878
19819,Hawkins Construction Co,Donovan Mattea,402-342-1607,Ted Martinez,,402-680-9981,Jake Harre,,402-630-4210
19972,Lyman-Richey Sand & Gravel 48,Bryan Campbell,402-510-9086,Dave Bratcher,402-298-8180,402-306-1032,Thomas Silknitter,,402-378-0146
20281,Piedmont Airlines,Austin Zimmer,682-275-3124,Austin Zimmer,531-263-3625,682-275-3124,Joshua Efigenio,531-263-3628,402-943-6305
20647,Jiffy Lube 1023,Lillian Nicholson,972-812-7910,Richard Carver,972-812-7900,,Lillian Nicholson,972-812-7935,972-812-7910
